Gene
0610007P14Rik
0610009B22Rik
0610009E02Rik
0610009L18Rik
0610009O20Rik
0610010F05Rik
0610010K14Rik
0610011F06Rik
0610012G03Rik
0610030E20Rik
0610037L13Rik
0610040B10Rik
0610040F04Rik
0610040J01Rik
0610043K17Rik
1110001J03Rik
1110002L01Rik
1110002O04Rik
1110004E09Rik
1110004F10Rik
1110007C09Rik
1110008F13Rik
1110008L16Rik
1110008P14Rik
1110012L19Rik
1110017D15Rik
1110018N20Rik
1110019D14Rik
1110020A21Rik
1110032A03Rik
1110032F04Rik
1110034G24Rik
1110037F02Rik
1110038B12Rik
1110038F14Rik
1110046J04Rik
1110051M20Rik
1110054M08Rik
1110057K04Rik
1110058L19Rik
1110059E24Rik
1110059G10Rik
1110065P20Rik
1190002F15Rik
1190002N15Rik
1190005I06Rik
1190007I07Rik
1200014J11Rik
1300002E11Rik
1500004A13Rik
1500009C09Rik
1500009L16Rik
1500011B03Rik
1500011K16Rik
1500012F01Rik
1500012K07Rik
1500015A07Rik
1500015O10Rik
1500017E21Rik
1500026H17Rik
1500035N22Rik
1600002H07Rik
1600002K03Rik
1600012H06Rik
1600014C10Rik
1600020E01Rik
1600029O15Rik
1700001K19Rik
1700001L05Rik
1700001L19Rik
1700001O22Rik
1700003E16Rik
1700003G18Rik
1700003M02Rik
1700003M07Rik
1700006A11Rik
1700007B14Rik
1700007G11Rik
1700007K13Rik
1700007P06Rik
1700008C04Rik
1700008F21Rik
1700008O03Rik
1700011I03Rik
1700012D01Rik
1700012D14Rik
1700013F07Rik
1700016K19Rik
1700017B05Rik
1700018A23Rik
1700019D03Rik
1700019G17Rik
1700019L22Rik
1700020I14Rik
1700021F05Rik
1700021K19Rik
1700023E05Rik
1700023F02Rik
1700023F06Rik
1700024P16Rik
1700025F24Rik
1700025G04Rik
1700027H10Rik
1700028J19Rik
1700028K03Rik
1700028P14Rik
1700029J07Rik
1700030C14Rik
1700030F04Rik
1700030F18Rik
1700030J22Rik
1700030K09Rik
1700034G24Rik
1700034H15Rik
1700037C18Rik
1700037H04Rik
1700039M10Rik
1700040L02Rik
1700045H11Rik
1700047M11Rik
1700048O20Rik
1700049G17Rik
1700049J03Rik
1700052K11Rik
1700052N19Rik
1700063D05Rik
1700066M21Rik
1700067K01Rik
1700080G11Rik
1700084C01Rik
1700086L19Rik
1700086O06Rik
1700088E04Rik
1700094D03Rik
1700096K18Rik
1700101E01Rik
1700101I11Rik
1700102P08Rik
1700109H08Rik
1700112D23Rik
1700112E06Rik
1700120C14Rik
1700123M08Rik
1700123O20Rik
1700124L16Rik
1700125H20Rik
1810009A15Rik
1810010H24Rik
1810011O10Rik
1810013L24Rik
1810014B01Rik
1810021B22Rik
1810022K09Rik
1810024B03Rik
1810026B05Rik
1810026J23Rik
1810030O07Rik
1810032O08Rik
1810037I17Rik
1810041H14Rik
1810041L15Rik
1810043G02Rik
1810043H04Rik
1810046K07Rik
1810055G02Rik
1810058I24Rik
1810062O18Rik
2010001A14Rik
2010012O05Rik
2010107E04Rik
2010107G23Rik
2010109A12Rik
2010111I01Rik
2010204K13Rik
2010300C02Rik
2010315B03Rik
2010320M18Rik
